****************************************************************************************
Output generated by CrystalDiffract(R) for Windows 6.5.3
Copyright © 1994-2015 CrystalMaker Software Ltd <http://www.crystalmaker.com>

(This file looks best when viewed using a non-proportional font such as Courier New.)
****************************************************************************************

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp

  1   0   1   4.48827   19.7641  2.08488e+000    4.2%   4     2    16.246
  0   0   2   3.45535   25.7617  5.47465e+000   11.0%   2     4     9.346
  0   1   1   3.20759   27.7900  2.38676e-001    0.5%   4     2     7.961
  1   0   2   2.98198   29.9398  6.15630e-001    1.2%   4     5     6.791
  2   0   0   2.95130   30.2585  9.76920e-001    2.0%   2     4     6.638
  1   1   1   2.81834   31.7227  9.17843e+000   18.4%   8     3     5.997
  2   0   1   2.71415   32.9745  1.39872e-002    0.0%   4     5     5.515
  1   1   2   2.30196   39.0988  4.98141e+001  100.0%   8     6     3.796
  2   1   0   2.28776   39.3514  3.08437e+001   61.9%   4     5     3.742
  2   0   2   2.24414   40.1490  1.21588e+000    2.4%   4     8     3.579
  2   1   1   2.17185   41.5460  3.39667e+001   68.2%   8     6     3.316
  1   0   3   2.14594   42.0713  2.34005e+001   47.0%   4    10     3.224
  0   1   3   1.94365   46.6950  5.06408e+000   10.2%   4    10     2.549
  2   1   2   1.90755   47.6327  1.13356e+001   22.8%   8     9     2.437
  3   0   1   1.89233   48.0398  1.53361e+001   30.8%   4    10     2.390
  1   1   3   1.84614   49.3209  2.07531e+001   41.7%   8    11     2.252
  2   0   3   1.81590   50.1983  3.83746e+000    7.7%   4    13     2.163
  0   2   0   1.81065   50.3541  2.28692e+001   45.9%   2     4     2.148
  0   0   4   1.72767   52.9553  1.36962e+000    2.7%   2    16     1.915
  3   0   2   1.70978   53.5535  9.17700e+000   18.4%   4    13     1.867
  1   2   1   1.67916   54.6104  3.12448e-001    0.6%   8     6     1.785
  3   1   1   1.67715   54.6812  3.86375e+000    7.8%   8    11     1.780
  1   0   4   1.65811   55.3628  4.31743e+000    8.7%   4    17     1.731
  2   1   3   1.62325   56.6575  2.74237e+000    5.5%   8    14     1.642
  0   2   2   1.60380   57.4082  1.12510e+000    2.3%   4     8     1.594
  1   2   2   1.54768   59.6958  1.46571e-001    0.3%   8     9     1.460
  3   1   2   1.54611   59.7627  4.93860e-001    1.0%   8    14     1.456
